,time,VAV: Core Zone Discharge Air Temperature,AHU: Outdoor Air Damper Position,VAV Core Zone Cooling SP,Diffuse Horizontal Solar Irradiation,VAV: North zone Q,VAV North Zone Heating SP,VAV: North Zone Reheat Control Signal,VAV: South Zone Room Air Temperature,VAV: South Zone Reheat Control Signal,VAV: South Zone Damper Control Signal,VAV North Zone Cooling SP,VAV: North Zone Airflow Rate,VAV: Core Zone Reheat Control Signal,AHU: Supply Air Temperature,Direct Normal Solar Irradiation,AHU:Cooling Coil Load,AHU: Cooling coil Load,VAV: North Zone Damper Control Signal,VAV: Core zone Q,AHU: Supply Fan Power,AHU: RAT,VAV: South Zone Discharge Air Temperature,VAV: Core Zone Airflow Rate,VAV: South Zone Airflow Rate,VAV: North Zone Room Air Temperature,AHU: Return Air Damper Position,VAV South Zone Heating SP,VAV Core Zone Heating SP,VAV: South zone Q,VAV: Core Zone Room Air Temperature,AHU: Supply Fan Airflow Rate,VAV: Core Zone Damper Control Signal,AHU: MAT,VAV South Zone Cooling SP,VAV: North Zone Discharge Air Temperature,Global Horizontal Solar Irradiation,Outdoor Air Temperature
64,19187640.0,55.039925,1.0,80.06002,0.2104,56.262077,60.08001,0.0,63.186615,0.0,0.2625,80.06002,69.49938,0.0,52.500046,0.3552,588.4249,588.4249,0.3,56.262077,35.86215,64.581436,55.039925,69.49938,108.987335,65.81899,0.0,60.08001,60.08001,88.229324,65.82498,364.55203,0.3,55.778206,80.06002,55.039925,0.40464,55.777985
67,19187700.0,55.039925,1.0,80.06002,0.20451389,56.301556,60.08001,0.0,63.17283,0.0,0.2625,80.06002,69.499374,0.0,52.49829,0.35225695,587.5778,587.5778,0.3,56.301556,35.86215,64.570946,55.039925,69.499374,108.98733,65.812515,0.0,60.08001,60.08001,88.29123,65.82004,364.55203,0.3,55.775185,80.06002,55.039925,0.3988426,55.775017
68,19187760.0,55.039925,1.0,80.06002,0.1986,56.341076,60.08001,0.0,63.15805,0.0,0.2625,80.06002,69.499374,0.0,52.496475,0.3493,586.69714,586.69714,0.3,56.341076,35.86215,64.56035,55.039925,69.499374,108.98733,65.805145,0.0,60.08001,60.08001,88.3532,65.81328,364.55203,0.3,55.772217,80.06002,55.039925,0.39303407,55.771996
70,19187880.0,55.039925,1.0,80.06002,0.18675555,56.42048,60.08001,0.0,63.081696,0.0,0.2625,80.06002,69.49938,0.0,52.492905,0.34337777,584.8327,584.8327,0.3,56.42048,35.86215,64.50563,55.039925,69.49938,108.987335,65.76598,0.0,60.08001,60.08001,88.477715,65.7773,364.55203,0.3,55.766174,80.06002,55.039925,0.3814459,55.766006
72,19188000.0,55.039925,1.0,80.06002,0.175,56.500744,60.08001,0.0,63.054832,0.0,0.2625,80.06002,69.49938,0.0,52.48928,0.3375,582.82635,582.82635,0.3,56.500744,35.86215,64.48564,55.039925,69.49938,108.987335,65.7528,0.0,60.08001,60.08001,88.603584,65.766205,364.55203,0.3,55.760185,80.06002,55.039925,0.37,55.76002
74,19188120.0,55.039925,1.0,80.06002,0.16346666,56.56511,60.08001,0.0,62.980072,0.0,0.2625,80.06002,69.49938,0.0,52.486313,0.33173335,581.01575,581.01575,0.3,56.56511,35.86215,64.43202,55.039925,69.49938,108.987335,65.714294,0.0,60.08001,60.08001,88.70449,65.73094,364.55203,0.3,55.75859,80.06002,55.039925,0.35882074,55.758648
76,19188240.0,55.039978,1.0,80.06002,0.15228888,56.561832,60.08001,0.0,62.954857,0.0,0.2625,80.06002,69.49938,0.0,52.486427,0.32614446,580.0342,580.0342,0.3,56.561832,35.86215,64.41318,55.039978,69.49938,108.98733,65.70166,0.0,60.08001,60.08001,88.69922,65.72044,364.55203,0.3,55.7659,80.06002,55.039978,0.3480326,55.766228
78,19188300.0,55.039978,1.0,80.06002,0.146875,56.53491,60.08001,0.0,62.917557,0.0,0.2625,80.06002,69.49938,0.0,52.48758,0.3234375,579.8725,579.8725,0.3,56.53491,35.86215,64.38681,55.039978,69.49938,108.98733,65.68221,0.0,60.08001,60.08001,88.6569,65.70215,364.55203,0.3,55.772766,80.06002,55.039978,0.34282407,55.773205
80,19188360.0,55.039978,1.0,80.06002,0.1416,56.49283,60.08001,0.0,62.881523,0.0,0.2625,80.06002,69.49938,0.0,52.489502,0.3208,579.9293,579.9293,0.3,56.49283,35.86215,64.36061,55.039978,69.49938,108.987335,65.66381,0.0,60.08001,60.08001,88.590805,65.68584,364.55203,0.3,55.78161,80.06002,55.039978,0.33776,55.782158
83,19188480.0,55.04003,1.0,80.06002,0.13153334,56.36811,60.08001,0.0,62.857903,0.0,0.2625,80.06002,69.499374,0.0,52.495102,0.31576666,580.692,580.692,0.3,56.36811,35.86215,64.34276,55.04003,69.499374,108.98733,65.651726,0.0,60.08001,60.08001,88.395004,65.675896,364.552,0.3,55.805176,80.06002,55.04003,0.3281274,55.805946
84,19188600.0,55.040085,1.0,80.06002,0.12222222,56.19704,60.08001,0.0,62.786053,0.0,0.2625,80.06002,69.49938,0.0,52.50285,0.31111112,582.30615,582.30615,0.3,56.19704,35.86215,64.29112,55.040085,69.49938,108.98733,65.61449,0.0,60.08001,60.08001,88.12651,65.64189,364.55203,0.3,55.836044,80.06002,55.040085,0.31925926,55.837036
86,19188720.0,55.040142,1.0,80.06002,0.1138,55.98823,60.08001,0.0,62.76408,0.0,0.2625,80.06002,69.499374,0.0,52.5123,0.3069,584.7493,584.7493,0.3,55.98823,35.862144,64.27426,55.040142,69.499374,108.98732,65.60289,0.0,60.08001,60.08001,87.79884,65.6325,364.552,0.3,55.873672,80.06002,55.040142,0.31128,55.87483
88,19188840.0,55.0402,1.0,80.06002,0.1064,55.749596,60.08001,0.0,62.693657,0.0,0.2625,80.06002,69.49938,0.0,52.523064,0.3032,587.99365,587.99365,0.3,55.749596,35.86215,64.2235,55.0402,69.49938,108.98733,65.56625,0.0,60.08001,60.08001,87.42442,65.59915,364.55203,0.3,55.91751,80.06002,55.0402,0.30431408,55.91883
91,19188900.0,55.0402,1.0,80.06002,0.103125,55.621376,60.08001,0.0,62.683937,0.0,0.2625,80.06002,69.499374,0.0,52.528885,0.3015625,589.906,589.906,0.3,55.621376,35.862144,64.21559,55.0402,69.499374,108.98733,65.5612,0.0,60.08001,60.08001,87.22326,65.59558,364.552,0.3,55.94157,80.06002,55.0402,0.30125,55.942944
92,19188960.0,55.040253,1.0,80.06002,0.100155555,55.48837,60.08001,0.0,62.67328,0.0,0.2625,80.06002,69.49938,0.0,52.534874,0.30007777,592.0058,592.0058,0.3,55.48837,35.86215,64.20752,55.0402,69.49938,108.98733,65.55516,0.0,60.08001,60.08001,87.01461,65.590256,364.55203,0.3,55.967003,80.06002,55.040253,0.29848593,55.968487
94,19189080.0,55.040253,1.0,80.06002,0.0952,55.21119,60.08001,0.0,62.60434,0.0,0.2625,80.06002,69.4994,0.0,52.5474,0.2976,596.7475,596.7475,0.3,55.21119,35.862156,64.157585,55.040253,69.4994,108.98736,65.519066,0.0,60.08001,60.08001,86.5798,65.5574,364.55212,0.3,56.021553,80.06002,55.040253,0.29392,56.0232
96,19189200.0,55.040306,1.0,80.06002,0.09166667,54.924084,60.08001,0.0,62.585552,0.0,0.2625,80.06002,69.499405,0.0,52.560417,0.29583332,602.1757,602.1757,0.3,54.924084,35.86216,64.142365,55.040253,69.499405,108.987366,65.50847,0.0,60.08001,60.08001,86.12946,65.54895,364.55215,0.3,56.08071,80.06002,55.040306,0.29074073,56.08247
99,19189320.0,55.040306,1.0,80.06002,0.08968889,54.632538,60.08001,0.0,62.518044,0.0,0.2625,80.06002,69.49942,0.0,52.5736,0.29484445,608.24304,608.24304,0.3,54.632538,35.862167,64.093315,55.040306,69.49942,108.9874,65.47292,0.0,60.08001,60.08001,85.67219,65.51665,364.55225,0.3,56.143883,80.06002,55.040306,0.2890726,56.145752
101,19189440.0,55.040306,1.0,80.06002,0.0894,54.341526,60.08001,0.0,62.500847,0.0,0.2625,80.06002,69.49943,0.0,52.58673,0.2947,614.8978,614.8978,0.3,54.341526,35.862175,64.07903,55.040306,69.49943,108.98743,65.46276,0.0,60.08001,60.08001,85.215775,65.50863,364.5523,0.3,56.210518,80.06002,55.040306,0.28904,56.212494
102,19189500.0,55.04036,1.0,80.06002,0.08993056,54.197636,60.08001,0.0,62.46723,0.0,0.2625,80.06002,69.499435,0.0,52.59327,0.29496527,618.4284,618.4284,0.3,54.197636,35.862183,64.05486,55.040306,69.499435,108.98744,65.44469,0.0,60.08001,60.08001,84.99012,65.49176,364.55234,0.3,56.24501,80.06002,55.04036,0.28967592,56.246933
104,19189560.0,55.04036,1.0,80.06002,0.09093333,54.05553,60.08001,0.0,62.434822,0.0,0.2625,80.06002,69.49945,0.0,52.599693,0.29546666,622.0847,622.0847,0.3,54.05553,35.86219,64.03085,55.040306,69.49945,108.987465,65.42772,0.0,60.08001,60.08001,84.767265,65.47682,364.55243,0.3,56.280113,80.06002,55.04036,0.2907674,56.28209
106,19189680.0,55.04036,1.0,80.06002,0.09442222,53.778595,60.08001,0.0,62.41922,0.0,0.2625,80.06002,69.499466,0.0,52.61222,0.2972111,629.7443,629.7443,0.3,53.778595,35.8622,64.017395,55.040306,69.499466,108.987495,65.41799,0.0,60.08001,60.08001,84.33298,65.46919,364.55252,0.3,56.35202,80.06002,55.04036,0.29437926,56.354107
