datetime,Unnamed: 0,time,VAV: Core Zone Discharge Air Temperature,AHU: Outdoor Air Damper Position,VAV Core Zone Cooling SP,VAV: North zone Q,VAV North Zone Heating SP,VAV: North Zone Reheat Control Signal,VAV: South Zone Room Air Temperature,VAV: South Zone Reheat Control Signal,VAV: South Zone Damper Control Signal,VAV North Zone Cooling SP,VAV: North Zone Airflow Rate,VAV: Core Zone Reheat Control Signal,AHU: Supply Air Temperature,AHU:Cooling Coil Load,AHU: Cooling coil Load,VAV: North Zone Damper Control Signal,VAV: Core zone Q,AHU: Supply Fan Power,AHU: RAT,VAV: South Zone Discharge Air Temperature,VAV: Core Zone Airflow Rate,VAV: South Zone Airflow Rate,VAV: North Zone Room Air Temperature,AHU: Return Air Damper Position,VAV South Zone Heating SP,VAV Core Zone Heating SP,VAV: South zone Q,VAV: Core Zone Room Air Temperature,AHU: Supply Fan Airflow Rate,VAV: Core Zone Damper Control Signal,AHU: MAT,VAV South Zone Cooling SP,VAV: North Zone Discharge Air Temperature,Outdoor Air Temperature,datetime
2021-08-11 09:00:00,634,19213080.0,76.089676,1.0,73.94003,625.3256,69.98001,0.5006742,71.8406,0.19832763,0.2625,73.94003,71.214775,0.44371566,51.70491,1257.9781,1257.9781,0.3009439,539.8619,36.831398,72.05028,62.574566,69.54582,109.07015,72.34915,0.0,69.98001,69.98001,377.15878,72.12059,367.2644,0.3,59.05861,73.94003,79.26159,59.061905,2021-08-11 09:13:00
2021-08-11 09:15:00,654,19214040.0,68.79519,1.0,73.94003,408.86865,69.98001,0.34230548,71.63565,0.10466234,0.2625,73.94003,69.49958,0.30765727,52.195507,1232.0645,1232.0645,0.3,367.15845,35.86455,72.024734,57.823036,69.49958,108.9877,72.539764,0.0,69.98001,69.98001,194.94032,72.21084,364.55316,0.3,60.018265,73.94003,70.68269,60.021675,2021-08-11 09:29:00
2021-08-11 09:30:00,676,19214880.0,62.963318,1.0,73.94003,250.48575,69.98001,0.21088228,71.4602,0.033092443,0.2625,73.94003,69.499435,0.19766891,52.35717,1232.0166,1232.0166,0.3,234.42653,35.862198,71.91333,54.13267,69.499435,108.987434,72.5139,0.0,69.98001,69.98001,61.046562,72.13295,364.55234,0.3,60.88234,73.94003,63.692917,60.88591,2021-08-11 09:43:00
2021-08-11 09:45:00,697,19215840.0,57.37468,1.0,73.94003,95.68515,69.98001,0.081137426,71.30227,0.0,0.2625,73.94003,69.49944,0.09248111,52.43693,1241.1185,1241.1185,0.3,108.97212,35.862186,71.70503,55.032562,69.49944,108.98745,72.2706,0.0,69.98001,69.98001,90.155045,71.868835,364.55234,0.3,61.900887,73.94003,56.779167,61.904564,2021-08-11 09:59:00
2021-08-11 10:00:00,718,19216680.0,53.640373,1.0,73.94003,0.0,69.98001,0.0,71.38461,0.0,0.2625,73.94003,69.49944,0.021187965,52.503616,1275.8645,1275.8645,0.3,24.92129,35.86219,71.570724,55.039757,69.49944,108.98745,71.92915,0.0,69.98001,69.98001,88.08402,71.539185,364.5524,0.3,62.822144,73.94003,52.503616,62.825935,2021-08-11 10:13:00
2021-08-11 10:15:00,736,19217640.0,55.03086,1.0,73.94003,53.683872,69.98001,0.0,71.67355,0.0,0.2625,73.94003,69.49943,0.0,52.61595,1364.5776,1364.5776,0.3,53.485935,35.86218,71.56105,55.040306,69.49943,108.98741,71.678,0.0,69.98001,69.98001,84.20017,71.19982,364.55228,0.3,64.0068,73.94003,55.039867,64.01141,2021-08-11 10:29:00
2021-08-11 10:30:00,754,19218480.0,55.03943,0.30743793,73.94003,53.03634,69.98001,0.0,72.07669,0.0,0.2625,73.94003,69.50513,0.0,52.645836,1681.903,1681.903,0.3,53.023937,35.83944,71.67778,55.04003,69.50513,108.997505,71.53573,0.7,69.98001,69.98001,83.17215,71.04755,364.58182,0.3,70.46654,73.94003,55.039978,65.19238,2021-08-11 10:43:00
2021-08-11 10:45:00,772,19219440.0,55.039925,0.3167458,73.94003,53.889767,69.98001,0.0,72.56652,0.0,0.2625,73.94003,69.50503,0.0,52.607056,1719.5405,1719.5405,0.3,53.889244,35.83738,71.84796,55.039925,69.50503,108.99733,71.403946,0.7,69.98001,69.98001,84.509964,70.90901,364.58133,0.3,70.805466,73.94003,55.039925,66.524155,2021-08-11 10:59:00
2021-08-11 11:00:00,790,19220280.0,55.039978,0.3195149,73.94003,54.040455,69.98001,0.0,72.993454,0.0,0.2625,73.94003,69.50495,0.0,52.600353,1755.8572,1755.8572,0.3,54.040424,35.83662,72.008804,55.039978,69.50495,108.99719,71.30771,0.7,69.98001,69.98001,84.74597,70.80783,364.58093,0.3,71.11797,73.94003,55.039978,67.51935,2021-08-11 11:13:00
2021-08-11 11:15:00,808,19221240.0,55.039978,0.3224369,73.94003,54.138626,69.98001,0.0,73.58006,0.0,0.2625,73.94003,69.5049,0.0,52.59596,1797.1307,1797.1307,0.3,54.138622,35.83585,72.26314,55.039978,69.5049,108.99709,71.241455,0.7,69.98001,69.98001,84.89993,70.73785,364.58066,0.3,71.46761,73.94003,55.039978,68.308495,2021-08-11 11:29:00
2021-08-11 11:30:00,826,19222080.0,55.039978,0.3247945,73.94003,54.375694,69.98001,0.0,74.16289,0.0,0.2625,73.94003,69.50486,0.0,52.585136,1828.1587,1828.1587,0.3,54.375694,35.835236,72.53598,55.039978,69.50486,108.997025,71.21619,0.7,69.98001,69.98001,85.27174,70.71033,364.58044,0.3,71.75985,73.94003,55.039978,68.71878,2021-08-11 11:43:00
2021-08-11 11:45:00,844,19223040.0,55.039978,0.32728308,73.94003,54.71042,69.98001,0.0,74.75549,0.0,0.2625,73.94003,69.50482,0.0,52.57003,1855.2617,1855.2617,0.3,54.71042,35.834602,72.81717,55.039978,69.50482,108.99696,71.1918,0.7,69.98001,69.98001,85.79667,70.683304,364.5803,0.3,72.025055,73.94003,55.039978,68.96548,2021-08-11 11:59:00
2021-08-11 12:00:00,862,19223880.0,55.04058,0.32433346,73.94003,46.42002,69.98001,0.0,74.95797,0.0,0.3659897,73.94003,69.47326,0.0,52.94461,2128.4507,2128.4507,0.3,46.42002,43.42669,73.26761,55.03871,69.47326,149.72556,71.172516,0.7,69.98001,69.98001,99.95346,70.655334,424.36404,0.3,72.35344,73.94003,55.04058,69.06918,2021-08-11 12:13:00
2021-08-11 12:15:00,880,19224840.0,55.03965,0.3208059,73.94003,48.988094,69.98001,0.0,74.87134,0.0,0.40702078,73.94003,69.47802,0.0,52.827934,2251.6948,2251.6948,0.3,48.988094,47.156487,73.28377,55.038605,69.47802,166.21684,71.055466,0.7,69.98001,69.98001,117.14193,70.524765,448.62314,0.3,72.35454,73.94003,55.03965,69.05227,2021-08-11 12:29:00
2021-08-11 12:30:00,898,19225680.0,55.039703,0.31714174,73.94003,50.82828,69.98001,0.0,74.77554,0.0,0.4370036,73.94003,69.47454,0.0,52.744,2325.2654,2325.2654,0.3,50.82828,49.798695,73.26163,55.03877,69.47454,177.72961,70.97037,0.7,69.98001,69.98001,129.97511,70.42764,465.53873,0.3,72.30702,73.94003,55.039703,68.911644,2021-08-11 12:43:00
2021-08-11 12:45:00,916,19226640.0,55.03981,0.3128374,73.94003,52.561993,69.98001,0.0,74.567406,0.0,0.45918015,73.94003,69.475685,0.0,52.665665,2374.975,2374.975,0.3,52.561993,51.996307,73.145065,55.0391,69.475685,186.65237,70.87781,0.7,69.98001,69.98001,141.16968,70.31998,478.6604,0.3,72.19589,73.94003,55.03981,68.78816,2021-08-11 12:59:00
2021-08-11 13:00:00,934,19227480.0,55.03981,0.3092345,73.94003,53.809196,69.98001,0.0,74.323395,0.0,0.46848008,73.94003,69.48113,0.0,52.610077,2395.9324,2395.9324,0.3,53.809196,53.16952,72.98235,55.039375,69.48113,190.95749,70.798706,0.7,69.98001,69.98001,147.86104,70.22847,485.00607,0.3,72.09454,73.94003,55.03981,68.866165,2021-08-11 13:13:00
